Queue Size,Token Possession,Buffer Size,Threshold,Delta Buffer,Delta Threshold
0,0,0,0,2000,0
0,0,0,10,2100,10
0,0,0,20,1900,0
0,0,0,30,2000,0
0,0,0,40,2000,-10
0,0,0,50,2000,10
0,0,0,60,2000,-10
0,0,0,70,2000,10
0,1,0,0,2000,0
0,1,0,10,2000,0
0,1,0,20,2000,10
0,1,0,30,2000,0
0,1,0,40,1900,-10
0,1,0,50,2000,0
0,1,0,60,2000,-10
0,1,0,70,1900,10
0,0,500,0,1400,10
0,0,500,10,1400,0
0,0,500,20,1500,-10
0,0,500,30,1500,-10
0,0,500,40,1500,0
0,0,500,50,1500,-10
0,0,500,60,1500,10
0,0,500,70,1500,10
50,0,500,0,1500,0
50,0,500,10,1500,0
50,0,500,20,1500,10
50,0,500,30,1500,-10
50,0,500,40,1500,0
50,0,500,50,1500,0
50,0,500,60,1500,0
50,0,500,70,1500,10
100,0,500,0,1600,0
100,0,500,10,1600,0
100,0,500,20,1600,0
100,0,500,30,1600,0
100,0,500,40,1600,0
100,0,500,50,1500,0
100,0,500,60,1500,0
100,0,500,70,1600,10
150,0,500,0,1700,10
150,0,500,10,1700,10
150,0,500,20,1600,-10
150,0,500,30,1600,10
150,0,500,40,1600,-10
150,0,500,50,1600,-10
150,0,500,60,1500,10
150,0,500,70,1600,-10
200,0,500,0,1700,0
200,0,500,10,1700,0
200,0,500,20,1600,10
200,0,500,30,1700,0
200,0,500,40,1700,-10
200,0,500,50,1600,-10
200,0,500,60,1600,10
200,0,500,70,1600,0
250,0,500,0,1700,0
250,0,500,10,1700,-10
250,0,500,20,1700,10
250,0,500,30,1700,0
250,0,500,40,1700,-10
250,0,500,50,1800,10
250,0,500,60,1700,10
250,0,500,70,1700,10
300,0,500,0,1800,10
300,0,500,10,1800,-10
300,0,500,20,1800,0
300,0,500,30,1700,-10
300,0,500,40,1700,10
300,0,500,50,1700,10
300,0,500,60,1800,-10
300,0,500,70,1800,-10
350,0,500,0,1800,10
350,0,500,10,1800,-10
350,0,500,20,1800,10
350,0,500,30,1800,0
350,0,500,40,1800,10
350,0,500,50,1800,10
350,0,500,60,1900,10
350,0,500,70,1800,10
400,0,500,0,1800,0
400,0,500,10,1900,0
400,0,500,20,1900,0
400,0,500,30,1800,10
400,0,500,40,1900,10
400,0,500,50,1900,-10
400,0,500,60,1900,-10
400,0,500,70,1900,-10
450,0,500,0,1900,0
450,0,500,10,2000,10
450,0,500,20,1900,-10
450,0,500,30,1900,-10
450,0,500,40,1900,0
450,0,500,50,1900,10
450,0,500,60,1900,0
450,0,500,70,1900,10
500,0,500,0,1900,10
500,0,500,10,1900,0
500,0,500,20,1900,0
500,0,500,30,2000,-10
500,0,500,40,2000,0
500,0,500,50,2000,0
500,0,500,60,2000,0
500,0,500,70,1900,0
0,1,500,0,1400,0
0,1,500,10,1400,10
0,1,500,20,1500,10
0,1,500,30,1400,-10
0,1,500,40,1400,0
0,1,500,50,1500,0
0,1,500,60,1500,0
0,1,500,70,1500,-10
50,1,500,0,1500,10
50,1,500,10,1500,0
50,1,500,20,1500,0
50,1,500,30,1500,-10
50,1,500,40,1500,-10
50,1,500,50,1600,-10
50,1,500,60,1600,10
50,1,500,70,1500,-10
100,1,500,0,1600,0
100,1,500,10,1600,10
100,1,500,20,1600,10
100,1,500,30,1500,0
100,1,500,40,1600,10
100,1,500,50,1600,-10
100,1,500,60,1600,10
100,1,500,70,1600,-10
150,1,500,0,1600,0
150,1,500,10,1700,10
150,1,500,20,1600,10
150,1,500,30,1700,10
150,1,500,40,1600,0
150,1,500,50,1600,10
150,1,500,60,1600,-10
150,1,500,70,1600,10
200,1,500,0,1700,0
200,1,500,10,1600,-10
200,1,500,20,1700,0
200,1,500,30,1700,0
200,1,500,40,1700,-10
200,1,500,50,1700,0
200,1,500,60,1700,10
200,1,500,70,1700,10
250,1,500,0,1700,10
250,1,500,10,1700,-10
250,1,500,20,1700,-10
250,1,500,30,1700,10
250,1,500,40,1700,10
250,1,500,50,1700,10
250,1,500,60,1600,0
250,1,500,70,1800,0
300,1,500,0,1700,10
300,1,500,10,1700,0
300,1,500,20,1700,-10
300,1,500,30,1800,10
300,1,500,40,1700,10
300,1,500,50,1800,-10
300,1,500,60,1800,10
300,1,500,70,1800,10
350,1,500,0,1800,0
350,1,500,10,1800,-10
350,1,500,20,1800,-10
350,1,500,30,1800,10
350,1,500,40,1800,-10
350,1,500,50,1900,-10
350,1,500,60,1800,-10
350,1,500,70,1800,0
400,1,500,0,1900,10
400,1,500,10,1900,-10
400,1,500,20,1800,-10
400,1,500,30,1800,0
400,1,500,40,1900,0
400,1,500,50,1900,-10
400,1,500,60,1900,10
400,1,500,70,1800,0
450,1,500,0,1900,10
450,1,500,10,2000,0
450,1,500,20,1900,10
450,1,500,30,1900,0
450,1,500,40,1900,10
450,1,500,50,1900,-10
450,1,500,60,1800,10
450,1,500,70,1900,-10
500,1,500,0,2000,10
500,1,500,10,2000,10
500,1,500,20,2000,-10
500,1,500,30,2000,10
500,1,500,40,2000,0
500,1,500,50,2000,0
500,1,500,60,2000,10
500,1,500,70,1900,0
0,0,1000,0,900,0
0,0,1000,10,1000,10
0,0,1000,20,900,0
0,0,1000,30,1000,10
0,0,1000,40,1000,10
0,0,1000,50,1000,-10
0,0,1000,60,1000,10
0,0,1000,70,1000,0
50,0,1000,0,1000,0
50,0,1000,10,1100,-10
50,0,1000,20,1000,-10
50,0,1000,30,1000,0
50,0,1000,40,1000,10
50,0,1000,50,1000,0
50,0,1000,60,1000,0
50,0,1000,70,1000,-10
100,0,1000,0,1100,10
100,0,1000,10,1000,-10
100,0,1000,20,1100,-10
