Queue Size,Token Possession,Buffer Size,Threshold,Delta Buffer,Delta Threshold
0,0,0,10,2900,-10
0,0,0,20,2900,0
0,0,0,30,2900,-10
0,0,0,40,2900,10
0,0,0,50,2900,10
0,0,0,60,2900,10
0,1,0,10,2900,0
0,1,0,20,2900,-10
0,1,0,30,2900,10
0,1,0,40,2900,-10
0,1,0,50,2900,0
0,1,0,60,2900,10
0,0,300,10,2600,0
0,0,300,20,2600,0
0,0,300,30,2600,0
0,0,300,40,2600,-10
0,0,300,50,2600,-10
0,0,300,60,2600,10
100,0,300,10,2900,10
100,0,300,20,2600,0
100,0,300,30,2900,0
100,0,300,40,2600,-10
100,0,300,50,2600,0
100,0,300,60,2600,0
200,0,300,10,2900,-10
200,0,300,20,2900,-10
200,0,300,30,2900,-10
200,0,300,40,2900,10
200,0,300,50,2900,0
200,0,300,60,2900,10
300,0,300,10,2900,10
300,0,300,20,2900,10
300,0,300,30,2900,-10
300,0,300,40,2900,0
300,0,300,50,2900,10
300,0,300,60,2900,0
0,1,300,10,2600,10
0,1,300,20,2600,0
0,1,300,30,2600,0
0,1,300,40,2600,10
0,1,300,50,2600,0
0,1,300,60,2600,-10
100,1,300,10,2900,-10
100,1,300,20,2600,-10
100,1,300,30,2900,-10
100,1,300,40,2900,10
100,1,300,50,2900,10
100,1,300,60,2600,10
200,1,300,10,2900,10
200,1,300,20,2900,10
200,1,300,30,2900,0
200,1,300,40,2900,0
200,1,300,50,2900,10
200,1,300,60,2900,10
300,1,300,10,2900,10
300,1,300,20,2900,10
300,1,300,30,2900,10
300,1,300,40,2900,10
300,1,300,50,2900,0
300,1,300,60,2900,0
0,0,600,10,2300,0
0,0,600,20,2300,0
0,0,600,30,2300,0
0,0,600,40,2300,-10
0,0,600,50,2300,-10
0,0,600,60,2300,-10
100,0,600,10,2300,-10
100,0,600,20,2300,0
100,0,600,30,2300,10
100,0,600,40,2600,0
100,0,600,50,2600,10
100,0,600,60,2300,0
200,0,600,10,2600,0
200,0,600,20,2600,-10
200,0,600,30,2600,10
200,0,600,40,2600,0
200,0,600,50,2600,-10
200,0,600,60,2600,0
300,0,600,10,2600,-10
300,0,600,20,2600,0
300,0,600,30,2600,0
300,0,600,40,2600,0
300,0,600,50,2600,-10
300,0,600,60,2600,-10
400,0,600,10,2600,10
400,0,600,20,2900,-10
400,0,600,30,2900,10
400,0,600,40,2900,10
400,0,600,50,2600,0
400,0,600,60,2600,-10
500,0,600,10,2900,10
500,0,600,20,2900,-10
500,0,600,30,2900,0
500,0,600,40,2900,10
500,0,600,50,2900,10
500,0,600,60,2900,-10
600,0,600,10,2900,10
600,0,600,20,2900,0
600,0,600,30,2900,0
600,0,600,40,2900,0
600,0,600,50,2900,0
600,0,600,60,2900,10
0,1,600,10,2300,-10
0,1,600,20,2300,10
0,1,600,30,2300,0
0,1,600,40,2300,-10
0,1,600,50,2300,-10
0,1,600,60,2300,10
100,1,600,10,2600,0
100,1,600,20,2300,10
100,1,600,30,2600,-10
100,1,600,40,2600,0
100,1,600,50,2300,-10
100,1,600,60,2300,0
200,1,600,10,2600,-10
200,1,600,20,2600,10
200,1,600,30,2600,-10
200,1,600,40,2600,0
200,1,600,50,2600,10
200,1,600,60,2600,10
300,1,600,10,2600,-10
300,1,600,20,2600,0
300,1,600,30,2600,10
300,1,600,40,2600,0
300,1,600,50,2600,-10
300,1,600,60,2600,-10
400,1,600,10,2600,10
400,1,600,20,2600,-10
400,1,600,30,2600,0
400,1,600,40,2600,0
400,1,600,50,2900,0
400,1,600,60,2900,0
500,1,600,10,2900,10
500,1,600,20,2900,10
500,1,600,30,2900,0
500,1,600,40,2900,-10
500,1,600,50,2900,-10
500,1,600,60,2900,0
600,1,600,10,2900,10
600,1,600,20,2900,-10
600,1,600,30,2900,0
600,1,600,40,2900,0
600,1,600,50,2900,-10
600,1,600,60,2900,10
0,0,900,10,2000,10
0,0,900,20,2000,10
0,0,900,30,2000,-10
0,0,900,40,2000,-10
0,0,900,50,2000,-10
0,0,900,60,2000,10
100,0,900,10,2000,10
100,0,900,20,2300,0
100,0,900,30,2300,-10
100,0,900,40,2300,0
100,0,900,50,2300,0
100,0,900,60,2300,0
200,0,900,10,2300,0
200,0,900,20,2300,10
200,0,900,30,2300,10
200,0,900,40,2300,0
200,0,900,50,2300,0
200,0,900,60,2300,0
300,0,900,10,2300,10
300,0,900,20,2300,-10
300,0,900,30,2300,0
300,0,900,40,2300,-10
300,0,900,50,2300,10
300,0,900,60,2300,10
400,0,900,10,2600,-10
400,0,900,20,2300,10
400,0,900,30,2300,10
400,0,900,40,2300,0
400,0,900,50,2300,0
400,0,900,60,2600,10
500,0,900,10,2600,-10
500,0,900,20,2600,0
500,0,900,30,2600,0
500,0,900,40,2600,10
500,0,900,50,2600,-10
500,0,900,60,2600,0
600,0,900,10,2600,0
600,0,900,20,2600,0
600,0,900,30,2600,-10
600,0,900,40,2600,-10
600,0,900,50,2600,10
600,0,900,60,2600,0
700,0,900,10,2900,10
700,0,900,20,2900,-10
700,0,900,30,2900,0
700,0,900,40,2600,0
700,0,900,50,2600,10
700,0,900,60,2900,0
800,0,900,10,2900,10
800,0,900,20,2900,-10
800,0,900,30,2900,0
800,0,900,40,2900,0
800,0,900,50,2900,0
800,0,900,60,2900,10
900,0,900,10,2900,10
900,0,900,20,2900,0
900,0,900,30,2900,-10
900,0,900,40,2900,0
900,0,900,50,2900,10
900,0,900,60,2900,10
0,1,900,10,2000,10
0,1,900,20,2000,10
0,1,900,30,2000,0
0,1,900,40,2000,-10
0,1,900,50,2000,0
0,1,900,60,2000,0
100,1,900,10,2000,10
100,1,900,20,2000,10
100,1,900,30,2000,-10
100,1,900,40,2000,10
100,1,900,50,2000,-10
100,1,900,60,2000,0
200,1,900,10,2300,-10
200,1,900,20,2300,0
200,1,900,30,2300,-10
200,1,900,40,2300,-10
200,1,900,50,2300,-10
200,1,900,60,2300,-10
300,1,900,10,2300,10
300,1,900,20,2300,0
300,1,900,30,2300,10
300,1,900,40,2300,10
300,1,900,50,2300,10
300,1,900,60,2300,0
400,1,900,10,2300,-10
400,1,900,20,2600,0
400,1,900,30,2600,10
400,1,900,40,2300,-10
400,1,900,50,2600,10
400,1,900,60,2300,0
500,1,900,10,2600,-10
500,1,900,20,2600,0
500,1,900,30,2600,-10
500,1,900,40,2600,10
500,1,900,50,2600,10
500,1,900,60,2600,-10
600,1,900,10,2600,-10
600,1,900,20,2600,10
600,1,900,30,2600,10
600,1,900,40,2600,-10
600,1,900,50,2600,-10
600,1,900,60,2600,10
700,1,900,10,2900,-10
700,1,900,20,2900,10
700,1,900,30,2900,-10
700,1,900,40,2600,-10
700,1,900,50,2600,10
700,1,900,60,2600,0
800,1,900,10,2900,-10
800,1,900,20,2900,-10
800,1,900,30,2900,-10
800,1,900,40,2900,10
800,1,900,50,2900,0
800,1,900,60,2900,-10
900,1,900,10,2900,10
900,1,900,20,2900,-10
900,1,900,30,2900,10
900,1,900,40,2900,10
900,1,900,50,2900,0
900,1,900,60,2900,0
0,0,1200,10,1700,-10
0,0,1200,20,1700,-10
0,0,1200,30,1700,10
0,0,1200,40,1700,10
0,0,1200,50,1700,10
0,0,1200,60,1700,10
100,0,1200,10,1700,-10
100,0,1200,20,2000,-10
100,0,1200,30,1700,10
100,0,1200,40,1700,0
100,0,1200,50,1700,-10
100,0,1200,60,1700,-10
200,0,1200,10,2000,0
200,0,1200,20,2000,10
200,0,1200,30,2000,10
200,0,1200,40,2000,0
200,0,1200,50,2000,0
200,0,1200,60,2000,-10
300,0,1200,10,2000,0
300,0,1200,20,2000,0
300,0,1200,30,2000,0
300,0,1200,40,2000,-10
300,0,1200,50,2000,10
300,0,1200,60,2000,0
400,0,1200,10,2300,10
400,0,1200,20,2000,0
400,0,1200,30,2000,-10
400,0,1200,40,2000,0
400,0,1200,50,2000,0
400,0,1200,60,2000,0
500,0,1200,10,2300,-10
500,0,1200,20,2300,0
500,0,1200,30,2300,-10
500,0,1200,40,2300,-10
