Queue Size,Token Possession,Buffer Size,Threshold,Delta Buffer,Delta Threshold
0,0,0,0,3900,10
0,0,0,10,4000,0
0,0,0,20,3800,0
0,0,0,30,3900,-10
0,0,0,40,3900,10
0,0,0,50,3900,0
0,0,0,60,4000,0
0,0,0,70,3900,-10
0,1,0,0,3900,0
0,1,0,10,3900,0
0,1,0,20,3900,10
0,1,0,30,4000,-10
0,1,0,40,4000,10
0,1,0,50,4000,-10
0,1,0,60,4000,-10
0,1,0,70,3900,10
0,0,500,0,3400,0
0,0,500,10,3500,-10
0,0,500,20,3500,10
0,0,500,30,3500,-10
0,0,500,40,3400,10
0,0,500,50,3400,-10
0,0,500,60,3500,10
0,0,500,70,3300,0
50,0,500,0,3500,10
50,0,500,10,3500,-10
50,0,500,20,3500,-10
50,0,500,30,3500,-10
50,0,500,40,3600,10
50,0,500,50,3400,0
50,0,500,60,3400,-10
50,0,500,70,3500,-10
100,0,500,0,3600,0
100,0,500,10,3500,10
100,0,500,20,3500,0
100,0,500,30,3600,0
100,0,500,40,3600,10
100,0,500,50,3500,10
100,0,500,60,3500,0
100,0,500,70,3600,-10
150,0,500,0,3600,10
150,0,500,10,3500,0
150,0,500,20,3600,0
150,0,500,30,3500,0
150,0,500,40,3700,10
150,0,500,50,3600,-10
150,0,500,60,3500,0
150,0,500,70,3500,10
200,0,500,0,3700,0
200,0,500,10,3700,-10
200,0,500,20,3600,10
200,0,500,30,3600,0
200,0,500,40,3600,10
200,0,500,50,3600,0
200,0,500,60,3700,0
200,0,500,70,3600,10
250,0,500,0,3600,10
250,0,500,10,3600,-10
250,0,500,20,3700,0
250,0,500,30,3700,10
250,0,500,40,3700,10
250,0,500,50,3600,-10
250,0,500,60,3700,10
250,0,500,70,3700,10
300,0,500,0,3700,10
300,0,500,10,3700,10
300,0,500,20,3700,0
300,0,500,30,3800,10
300,0,500,40,3700,10
300,0,500,50,3700,-10
300,0,500,60,3700,10
300,0,500,70,3700,10
350,0,500,0,3800,0
350,0,500,10,3800,-10
350,0,500,20,3800,0
350,0,500,30,3700,-10
350,0,500,40,3700,10
350,0,500,50,3800,-10
350,0,500,60,3700,10
350,0,500,70,3800,0
400,0,500,0,3700,0
400,0,500,10,3900,10
400,0,500,20,3900,-10
400,0,500,30,3900,-10
400,0,500,40,3800,-10
400,0,500,50,3800,-10
400,0,500,60,3900,0
400,0,500,70,3800,0
450,0,500,0,3900,0
450,0,500,10,3900,-10
450,0,500,20,3900,10
450,0,500,30,3800,10
450,0,500,40,3900,-10
450,0,500,50,3900,-10
450,0,500,60,3900,-10
450,0,500,70,3900,-10
500,0,500,0,3900,10
500,0,500,10,3900,10
500,0,500,20,4000,-10
500,0,500,30,4000,10
500,0,500,40,3900,0
500,0,500,50,4000,0
500,0,500,60,3900,-10
500,0,500,70,4000,0
0,1,500,0,3500,0
0,1,500,10,3400,10
0,1,500,20,3300,10
0,1,500,30,3400,0
0,1,500,40,3500,0
0,1,500,50,3400,-10
0,1,500,60,3500,-10
0,1,500,70,3400,-10
50,1,500,0,3400,10
50,1,500,10,3500,-10
50,1,500,20,3500,10
50,1,500,30,3400,-10
50,1,500,40,3500,-10
50,1,500,50,3500,0
50,1,500,60,3500,10
50,1,500,70,3400,-10
100,1,500,0,3500,10
100,1,500,10,3500,-10
100,1,500,20,3600,-10
100,1,500,30,3600,0
100,1,500,40,3500,10
100,1,500,50,3600,0
100,1,500,60,3500,10
100,1,500,70,3500,0
150,1,500,0,3500,0
150,1,500,10,3600,-10
150,1,500,20,3600,-10
150,1,500,30,3600,10
150,1,500,40,3500,-10
150,1,500,50,3500,-10
150,1,500,60,3700,-10
150,1,500,70,3600,-10
200,1,500,0,3600,0
200,1,500,10,3700,0
200,1,500,20,3600,10
200,1,500,30,3600,0
200,1,500,40,3600,10
200,1,500,50,3700,-10
200,1,500,60,3700,0
200,1,500,70,3700,10
250,1,500,0,3700,0
250,1,500,10,3700,-10
250,1,500,20,3600,-10
250,1,500,30,3600,10
250,1,500,40,3700,-10
250,1,500,50,3600,10
250,1,500,60,3700,0
250,1,500,70,3700,10
300,1,500,0,3600,10
300,1,500,10,3800,10
300,1,500,20,3800,10
300,1,500,30,3700,-10
300,1,500,40,3700,0
300,1,500,50,3800,-10
300,1,500,60,3700,-10
300,1,500,70,3700,10
350,1,500,0,3800,10
350,1,500,10,3800,0
350,1,500,20,3900,10
350,1,500,30,3800,-10
350,1,500,40,3700,10
350,1,500,50,3700,0
350,1,500,60,3800,-10
350,1,500,70,3900,10
400,1,500,0,3900,10
400,1,500,10,3800,-10
400,1,500,20,3900,0
400,1,500,30,3800,10
400,1,500,40,4000,0
400,1,500,50,3900,0
400,1,500,60,3800,-10
400,1,500,70,3900,-10
450,1,500,0,3900,0
450,1,500,10,3900,10
450,1,500,20,3900,10
450,1,500,30,3800,0
450,1,500,40,3900,0
450,1,500,50,3900,10
450,1,500,60,3800,0
450,1,500,70,3900,-10
500,1,500,0,3900,0
500,1,500,10,4000,10
500,1,500,20,4000,0
500,1,500,30,3900,0
500,1,500,40,3900,10
500,1,500,50,3900,0
500,1,500,60,4000,10
500,1,500,70,4000,0
0,0,1000,0,2900,10
